name,year,height,weight,position,school,city,state,profile_link,score,nat_rank,pos_rank,state_rank,website,school_offer
Sam Ehlinger,2017,73,215,QB,Westlake,Austin,TX,//247sports.com/Player/sam-ehlinger-65584/,0.92,208,4,28,247,Texas
Shawn Robinson,2017,74,215,QB,DeSoto,DeSoto,TX,//247sports.com/Player/shawn-robinson-59633/,0.91,NA,6,35,247,Texas
Najee Harris,2017,75,226,RB,Antioch,Antioch,CA,//247sports.com/Player/najee-harris-62925/,0.99,9,2,2,247,Texas
Kylin Hill,2017,71,210,RB,Columbus,Columbus,MS,//247sports.com/Player/kylin-hill-77603/,0.94,124,6,5,247,Texas
Eno Benjamin,2017,69,204,RB,Wylie East,Wylie,TX,//247sports.com/Player/eno-benjamin-58645/,0.92,193,12,26,247,Texas
A.J. Davis,2017,71,190,RB,Lakeland,Lakeland,FL,//247sports.com/Player/aj-davis-63645/,0.89,NA,21,43,247,Texas
Toneil Carter,2017,70,197,RB,Langham Creek,Houston,TX,//247sports.com/Player/toneil-carter-77478/,0.87,NA,35,76,247,Texas
Daniel Young,2017,72,210,RB,Westfield,Houston,TX,//247sports.com/Player/daniel-young-85335/,0.87,NA,38,85,247,Texas
J.K. Dobbins,2017,69,199,RB,La Grange,La Grange,TX,//247sports.com/Player/jk-dobbins-37847/,0.97,43,2,7,247,Texas
DeVonta Smith,2017,73,160,WR,Amite,Amite,LA,//247sports.com/Player/devonta-smith-57201/,0.98,29,3,1,247,Texas
D.J. Matthews Jr.,2017,71,160,WR,Trinity Christian Academy,Jacksonville,FL,//247sports.com/Player/dj-matthews-jr-36789/,0.97,42,6,7,247,Texas
Jalen Reagor,2017,71,185,WR,Waxahachie,Waxahachie,TX,//247sports.com/Player/jalen-reagor-83867/,0.96,69,11,8,247,Texas
Tyrell Shavers,2017,78,196,WR,Lewisville,Lewisville,TX,//247sports.com/Player/tyrell-shavers-84668/,0.95,70,12,9,247,Texas
Damion Miller,2017,73,193,WR,John Tyler,Tyler,TX,//247sports.com/Player/damion-miller-77878/,0.93,164,24,23,247,Texas
CeeDee Lamb,2017,74,172,WR,Foster,Richmond,TX,//247sports.com/Player/ceedee-lamb-77892/,0.91,246,31,33,247,Texas
Mannie Netherly,2017,74,183,WR,Crosby,Crosby,TX,//247sports.com/Player/mannie-netherly-77997/,0.89,NA,41,41,247,Texas
Charleston Rambo,2017,74,170,WR,Cedar Hill,Cedar Hill,TX,//247sports.com/Player/charleston-rambo-80489/,0.89,NA,45,44,247,Texas
Omar Manning,2017,74,214,WR,Lancaster,Lancaster,TX,//247sports.com/Player/omar-manning-82004/,0.89,NA,46,46,247,Texas
Hezekiah Jones,2017,72,193,WR,Stafford,Stafford,TX,//247sports.com/Player/hezekiah-jones-34299/,0.88,NA,53,55,247,Texas
Roshauud Paul,2017,72,170,WR,Bremond,Bremond,TX,//247sports.com/Player/roshauud-paul-79738/,0.88,NA,60,59,247,Texas
Jamire Calvin,2017,69,150,WR,Cathedral,Los Angeles,CA,//247sports.com/Player/jamire-calvin-80102/,0.87,NA,73,46,247,Texas
Camron Buckley,2017,73,186,WR,Cedar Hill,Cedar Hill,TX,//247sports.com/Player/camron-buckley-80982/,0.86,NA,94,99,247,Texas
Jordan Pouncey,2017,74,185,WR,Winter Park,Winter Park,FL,//247sports.com/Player/jordan-pouncey-87811/,0.86,NA,112,109,247,Texas
Ellijah Gardiner,2017,77,185,WR,Kemp,Kemp,TX,//247sports.com/Player/ellijah-gardiner-46037012/,0.85,NA,134,128,247,Texas
Bryson Smith,2017,72,170,WR,John Tyler,Tyler,TX,//247sports.com/Player/bryson-smith-79997/,0.81,NA,38,214,247,Texas
Brock Wright,2017,76,243,TE,Cy-Fair,Cypress,TX,//247sports.com/Player/brock-wright-71789/,0.92,189,6,25,247,Texas
B.J. Thompson,2017,79,205,TE,England,England,AR,//247sports.com/Player/bj-thompson-90196/,0.9,NA,17,3,247,Texas
Sal Cannella,2017,78,230,TE,Scottsdale C.C.,Scottsdale,AZ,//247sports.com/Player/sal-cannella-94145/,0.9,15,2,3,247,Texas
Major Tennison,2017,78,230,TE,Bullard,Bullard,TX,//247sports.com/Player/major-tennison-80188/,0.88,NA,11,53,247,Texas
Reese Leitao,2017,76,234,TE,Jenks,Jenks,OK,//247sports.com/Player/reese-leitao-85331/,0.88,NA,14,9,247,Texas
Kedrick James,2017,76,245,TE,La Vega,Waco,TX,//247sports.com/Player/kedrick-james-78298/,0.86,NA,30,98,247,Texas
Camron Horry,2017,77,261,TE,Taylor,Katy,TX,//247sports.com/Player/camron-horry-83578/,0.84,NA,52,141,247,Texas
