name,year,height,weight,position,school,city,state,profile_link,score,nat_rank,pos_rank,state_rank,website,school_offer
Spencer Rattler,2019,73,198,QB,Pinnacle,Phoenix,AZ,//247sports.com/Player/spencer-rattler-87297/,0.99,9,1,1,247,Texas
Roschon Johnson,2019,73,192,QB,Port Neches-Groves,Port Neches,TX,//247sports.com/Player/roschon-johnson-93572/,0.89,NA,6,41,247,Texas
John Emery Jr.,2019,71,206,RB,Destrehan,Destrehan,LA,//247sports.com/Player/john-emery-jr-46038480/,0.98,11,1,2,247,Texas
Trey Sanders,2019,72,214,RB,IMG Academy,Bradenton,FL,//247sports.com/Player/trey-sanders-89303/,0.98,14,2,2,247,Texas
Jerrion Ealy,2019,70,200,RB,Jackson Prep,Flowood,MS,//247sports.com/Player/jerrion-ealy-91219/,0.98,26,3,3,247,Texas
Devyn Ford,2019,71,195,RB,North Stafford,Stafford,VA,//247sports.com/Player/devyn-ford-87066/,0.95,108,5,3,247,Texas
Tyrion Davis-Price,2019,73,235,RB,Southern Lab,Baton Rouge,LA,//247sports.com/Player/tyrion-davis-price-93968/,0.95,110,6,5,247,Texas
Quavaris Crouch,2019,72,237,RB,Harding University High,Charlotte,NC,//247sports.com/Player/quavaris-crouch-92997/,0.94,123,5,2,247,Texas
Noah Cain,2019,70,208,RB,IMG Academy,Bradenton,FL,//247sports.com/Player/noah-cain-86618/,0.91,NA,14,25,247,Texas
D.J. Williams,2019,71,210,RB,Sebring,Sebring,FL,//247sports.com/Player/dj-williams-46056565/,0.9,NA,16,26,247,Texas
Deondrick Glass,2019,71,200,RB,Katy,Katy,TX,//247sports.com/Player/deondrick-glass-87041/,0.9,NA,22,36,247,Texas
Derrian Brown,2019,71,188,RB,Buford,Buford,GA,//247sports.com/Player/derrian-brown-46042323/,0.9,NA,25,38,247,Texas
Rhamondre Stevenson,2019,71,235,RB,Cerritos College,Norwalk,CA,//247sports.com/Player/rhamondre-stevenson-81020/,0.9,14,1,2,247,Texas
Marcus Major,2019,72,200,RB,Millwood,Oklahoma City,OK,//247sports.com/Player/marcus-major-46051077/,0.89,NA,29,9,247,Texas
Daniel Carter,2019,70,204,RB,St. Thomas Aquinas,Fort Lauderdale,FL,//247sports.com/Player/daniel-carter-87906/,0.86,NA,54,99,247,Texas
Garrett Wilson,2019,71,175,WR,Lake Travis,Austin,TX,//247sports.com/Player/garrett-wilson-94612/,0.98,29,2,5,247,Texas
Theo Wease Jr.,2019,75,202,WR,Allen,Allen,TX,//247sports.com/Player/theo-wease-jr-89448/,0.97,37,4,8,247,Texas
Jordan Whittington,2019,72,198,WR,Cuero,Cuero,TX,//247sports.com/Player/jordan-whittington-86085/,0.96,59,2,10,247,Texas
Dylan Wright,2019,76,215,WR,West Mesquite,Mesquite,TX,//247sports.com/Player/dylan-wright-46039963/,0.95,75,10,11,247,Texas
Jake Smith,2019,73,189,WR,Notre Dame Preparatory,Scottsdale,AZ,//247sports.com/Player/jake-smith-46047516/,0.95,77,11,2,247,Texas
Mycah Pittman,2019,71,195,WR,Calabasas,Calabasas,CA,//247sports.com/Player/mycah-pittman-46035991/,0.95,85,13,16,247,Texas
Elijah Higgins,2019,75,214,WR,Bowie,Austin,TX,//247sports.com/Player/elijah-higgins-46040146/,0.95,89,15,15,247,Texas
Langston Anderson,2019,74,195,WR,Heritage,Midlothian,TX,//247sports.com/Player/langston-anderson-46047458/,0.95,94,16,17,247,Texas
